"label"	"spaceAgencyName"	"launchPlaceName"	"latitude"	"longitude"	"astroName"	"birthPlaceName"
"SPICA (spacecraft)"	"European Space Agency"	"Tanegashima Space Center"				
"AMSAT-OSCAR 7"	"AMSAT"	"Vandenberg Air Force Base"				
"INSAT-4B"	"Indian Space Research Organisation"	"Guiana Space Centre"				
"OSO 3"	"NASA"	"Cape Canaveral Air Force Station"				
"Progress M-15M"	"Roskosmos"	"Baikonur Cosmodrome"				
"Kosmos 2475"	"Russian Space Forces"	"Baikonur Cosmodrome Site 81"				
"USA-88"	"US Air Force"	"Cape Canaveral Air Force Station"				
"UoSAT-5"	"University of Surrey"	"ELA-2"				
"Progress M1-2"	"Roskosmos"	"Gagarin's Start"				
"Graham (satellite)"	"NASA"	"Mid-Atlantic Regional Spaceport Launch Pad 0"				
"STS-61"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Claude Nicollier"	"Switzerland"
"USA-151"	"US Air Force"	"Cape Canaveral Air Force Station"				
"Meteor-3M No.1"	"Roscosmos"	"Baikonur Cosmodrome Site 45"				
"STS-126"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Robert S. Kimbrough"	"Killeen, Texas"
"Gemini 12"	"NASA"	"Cape Canaveral Air Force Station"	28.4889	-80.5778	"Buzz Aldrin"	"Glen Ridge, New Jersey"
"Kosmos 2458"	"Russian Space Forces"	"Baikonur Cosmodrome Site 81"				
"GSAT-15"	"ISRO"	"Guiana Space Centre"				
"STS-31"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Kathryn D. Sullivan"	"Paterson, New Jersey"
"Türksat 4B"	"Turksat (company)"	"Kazakhstan"				
"Skylab 3"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jack R. Lousma"	"Grand Rapids, Michigan"
"STS-51-D"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jake Garn"	"Richfield, Utah"
"INSAT-4E"	"ISRO"	"Satish Dhawan Space Centre Second Launch Pad"				
"STS-102"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Paul W. Richards"	"United States"
"LISA Pathfinder"	"European Space Agency"	"Guiana Space Centre"				
"SERVIS-1"	"Institute for Unmanned Space Experiment Free Flyer"	"Plesetsk Cosmodrome"				
"USA-204"	"US Air Force"	"Cape Canaveral Air Force Station"				
"USA-223"	"National Reconnaissance Office"	"Cape Canaveral Air Force Station"				
"Intelsat 14"	"Intelsat"	"Cape Canaveral Air Force Station"				
"High Energy Transient Explorer"	"NASA"	"Bucholz Army Airfield"				
"EXOSAT"	"European Space Agency"	"Vandenberg Air Force Base"				
"MESSENGER"	"National Aeronautics and Space Administration"	"Cape Canaveral Air Force Station"				
"Mangalyaan 2"	"Indian Space Research Organisation"	"Satish Dhawan Space Centre"				
"Eutelsat 16B"	"Eutelsat"	"ELA-2"				
"STS-97"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Marc Garneau"	"Canada"
"Phootprint"	"European Space Agency"	"Guiana Space Centre"				
"Jugnu (satellite)"	"Indian Institute of Technology Kanpur"	"Satish Dhawan Space Centre"				
"Soyuz TMA-14M"	"Roskosmos"	"Kazakhstan"	51.1667	71.4333	"Barry E. Wilmore"	"Murfreesboro, Tennessee"
"STS-93"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Eileen Collins"	"Elmira, New York"
"Orbiting Astronomical Observatory 2"	"NASA"	"Cape Canaveral Air Force Station Space Launch Complex 36"				
"Sunrise (telescope)"	"Max Planck Institute for Solar System Research"	"Esrange"				
"Progress M-60"	"Roskosmos"	"Gagarin's Start"				
"TUGSAT-1"	"Graz University of Technology"	"Satish Dhawan Space Centre"				
"UAPSat-1"	"Universidad Alas Peruanas"	"Mid-Atlantic Regional Spaceport Launch Pad 0"				
"STS-56"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Ellen Ochoa"	"California"
"BIRD (satellite)"	"DLR Institute for Planetary Research"	"Satish Dhawan Space Centre"				
"STS-51-D"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jeffrey A. Hoffman"	"Brooklyn"
"PRISMA (spacecraft)"	"Italian Space Agency"	"Guiana Space Centre"				
"GSAT-17"	"Indian National Satellite System"	"Guiana Space Centre"				
"STS-68"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Thomas David Jones"	"Baltimore, Maryland"
"Soyuz TMA-14M"	"Roskosmos"	"Kazakhstan"	43.3503	71.4333	"Aleksandr Samokutyayev"	"Russia"
"STS-51-L"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Dick Scobee"	"Cle Elum, Washington"
"Apollo 17"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Harrison Schmitt"	"New Mexico"
"STS-90"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Dafydd Williams"	"Saskatchewan"
