"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"Apollo 7","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Wally Schirra","Hackensack, New Jersey"
"Fobos-Grunt","Russian Federal Space Agency","Baikonur Cosmodrome Site 45",",",,
"Progress MS-04","Roscosmos State Corporation","Baikonur Cosmodrome",",",,
"Saturn I SA-1","NASA","Cape Canaveral Air Force Station",",",,
"Kosmos 2514","Russian Aerospace Defence Forces","Plesetsk Cosmodrome Site 43",",",,
"Progress M-21M","Roskosmos","Baikonur Cosmodrome",",",,
"Kitsat-2","KAIST Satellite Technology Research Center","Guiana Space Centre",",",,
"Progress M-29M","Roscosmos","Gagarin's Start",",",,
"CAT-1","European Space Agency","Guiana Space Centre",",",,
"Dong Fang Hong I","China Academy of Space Technology","Jiuquan Satellite Launch Center",",",,
"IMAGE","NASA","Vandenberg Air Force Base",",",,
"STS-62-A","NASA","Vandenberg Air Force Base",",",,
"Rossi X-ray Timing Explorer","NASA","Cape Canaveral Air Force Station",",",,
"Gemini 10","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Michael Collins (astronaut)","Rome"
"Cornell University Satellite","AFRL","Vandenberg Air Force Base",",",,
"Orbiting Astronomical Observatory 2","NASA","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"N-STAR c","SKY Perfect JSAT Group","Guiana Space Centre",",",,
"Gemini 7","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Jim Lovell","Cleveland"
"STS-55","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Terence T. Henricks","Bryan, Ohio"
"Drag and Atmospheric Neutral Density Explorer","AFRL","Vandenberg Air Force Base",",",,
"STS-61-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sherwood C. Spring","Hartford, Connecticut"
"Luna 2","Soviet Union","Baikonur Cosmodrome Site 1",",",,
"BSAT-2a","Broadcasting Satellite System Corporation","Guiana Space Center",",",,
"USA-88","US Air Force","Cape Canaveral Air Force Station",",",,
"Voskhod 2","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"Venera 10","Lavochkin","Baikonur Cosmodrome Site 81",",",,
"Lunar Polar Hydrogen Mapper","NASA","Kennedy Space Center Launch Complex 39",",",,
"STS-61","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jeffrey A. Hoffman","Brooklyn"
"Gemini 11","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Pete Conrad","Philadelphia, Pennsylvania"
"Explorer 14","NASA","Cape Canaveral Air Force Station",",",,
"STS-3","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","C. Gordon Fullerton","Rochester, New York"
"Soyuz TMA-8","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-73","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kathryn C. Thornton","Montgomery, Alabama"
