"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"Progress M1-11","Roskosmos","Gagarin's Start",",",,
"SumbandilaSat","University of Stellenbosch","Baikonur Cosmodrome",",",,
"Eutelsat 115 West B","Eutelsat","Cape Canaveral Air Force Station",",",,
"USA-85","US Air Force","Cape Canaveral Air Force Station",",",,
"SES-1","SES World Skies","Baikonur Cosmodrome",",",,
"IRNSS-1D","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"Apollo–Soyuz Test Project","NASA","Kazakh Soviet Socialist Republic",",",,
"USA-79","US Air Force","Cape Canaveral Air Force Station",",",,
"Exploration of Energization and Radiation in Geospace","JAXA","Uchinoura Space Center",",",,
"STS-51-F","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Story Musgrave","Massachusetts"
"Amazônia-1","National Institute for Space Research","Alcântara Launch Center",",",,
"Clementine (spacecraft)","NASA","Vandenberg Air Force Base",",",,
"Georges Lemaître ATV","European Space Agency","Guiana Space Centre",",",,
"Magnetospheric Multiscale Mission","NASA","Cape Canaveral Air Force Station",",",,
"STS-8","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dale Gardner","Fairmont, Minnesota"
"Progress M-17M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Kosmos 2447","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Progress M-SO1","Roskosmos","Gagarin's Start",",",,
"Superbird-C","SKY Perfect JSAT Group","Cape Canaveral Air Force Station",",",,
"STS-90","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard A. Searfoss","Michigan"
"Inmarsat-4 F3","Inmarsat","Baikonur Cosmodrome",",",,
"ITF-1","Tsukuba University","Tanegashima Space Center",",",,
"STS-41","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert D. Cabana","Minneapolis"
"Gravity Probe B","Stanford University","Vandenberg Air Force Base",",",,
"STS-45","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Byron K. Lichtenberg","Pennsylvania"
"STS-107","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","David M. Brown","Arlington County, Virginia"
"Mars 7","Lavochkin","Baikonur Cosmodrome Site 81",",",,
"STS-110","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Steven Smith (astronaut)","Phoenix, Arizona"
"STS-61-M","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sally Ride","Los Angeles"
"STS-99","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dominic L. Pudwill Gorie","Lake Charles, Louisiana"
"Resurs-P No.1","Roskosmos","Baikonur Cosmodrome",",",,
"Galaxy 4R","Intelsat","ELA-2",",",,
"Yamal 202","Gazprom Space Systems","Baikonur Cosmodrome Site 81",",",,
"CHAMP (satellite)","German Aerospace Centre","Plesetsk Cosmodrome",",",,
"ABS-3","Mabuhay Satellite Corporation","Xichang Satellite Launch Center",",",,
"STS-119","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John L. Phillips","Fort Belvoir"
"Kosmos 2475","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Meteosat 8","ESA","Guiana Space Centre",",",,
"Gemini 2","NASA","Cape Canaveral Air Force Station",",",,
"USA-90","US Air Force","Cape Canaveral Air Force Station",",",,
"Project Echo","NASA","Vandenberg Air Force Base",",",,
"GeneSat-1","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Kosmos 2460","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"STS-128","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John D. Olivas","Los Angeles"
"ARSAT-1","AR-SAT","Guiana Space Centre",",",,
"Rosetta (spacecraft)","European Space Agency","Guiana Space Centre",",",,
"STS-75","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Maurizio Cheli","Modena"
"STS-35","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Vance D. Brand","Longmont, Colorado"
"IRS-1D","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"Cygnus CRS Orb-2","Orbital Sciences Corporation","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"GOES 3","NOAA","Cape Canaveral Air Force Station",",",,
"STS-131","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Naoko Yamazaki","Japan"
"Apollo 11","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Buzz Aldrin","Glen Ridge, New Jersey"
"Kosmos 2465","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"STSAT-2A","Korea Aerospace Research Institute","Naro Space Centre",",",,
"Mariner 4","Jet Propulsion Laboratory","Cape Canaveral Air Force Station",",",,
"Apollo 13","NASA","Kennedy Space Center Launch Complex 39",",",,
"Ranger 9","NASA","Cape Canaveral Air Force Station",",",,
"USA-71","US Air Force","Cape Canaveral Air Force Station",",",,
"Petey (satellite)","Space Test Program","Cape Canaveral Air Force Station",",",,
"SpaceX CRS-14","SpaceX","SLC-40",",",,
"SpaceX CRS-12","SpaceX","SLC-40",",",,
"STS-51-J","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ronald J. Grabe","New York (state)"
"Antares A-ONE","Orbital Sciences Corporation","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"Terra (satellite)","NASA","Vandenberg Air Force Base",",",,
"STS-65","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Chiaki Mukai","Japan"
"BIRD (satellite)","DLR Institute for Planetary Research","Satish Dhawan Space Centre",",",,
"BSAT-2b","Broadcasting Satellite System Corporation","Guiana Space Center",",",,
"STS-35","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ronald A. Parise","Warren, Ohio"
"Radarsat-2","MacDonald, Dettwiler and Associates","Baikonur Cosmodrome",",",,
"Ariel 6","Science and Engineering Research Council","Wallops Flight Facility Launch Area 3",",",,
"Advanced Composition Explorer","NASA","Cape Canaveral Air Force Station",",",,
"Apollo 9","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Rusty Schweickart","Neptune Township, New Jersey"
"STS-6","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Paul J. Weitz","Erie, Pennsylvania"
"STS-27","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert L. Gibson","Cooperstown, New York"
"EchoStar VI","EchoStar","Cape Canaveral Air Force Station",",",,
"TacSat-3","AFRL","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"STS-134","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael Fincke","Pittsburgh, Pennsylvania"
"TerreStar-1","TerreStar Corporation","Guiana Space Centre",",",,
"Telkom-3","PT Telekomunikasi Indonesia","Baikonur Cosmodrome Site 81",",",,
"Progress M-20M","Roskosmos","Baikonur Cosmodrome",",",,
"TD-1A","ESRO","Vandenberg Air Force Base",",",,
"Progress M-66","Roskosmos","Baikonur Cosmodrome",",",,
"Near Earth Object Surveillance Satellite","Canadian Space Agency","Satish Dhawan Space Centre",",",,
"ICESat-2","NASA","Vandenberg Air Force Base",",",,
"Kosmos 2440","VKS","Baikonur Cosmodrome Site 81",",",,
"PSSC-2","United States Air Force","Kennedy Space Center Launch Complex 39",",",,
"Bion-M No.1","Russian Academy of Sciences","Baikonur Cosmodrome",",",,
"Iridium 33","Iridium Satellite LLC","Baikonur Cosmodrome Site 81",",",,
"Yamal 102","Gazprom Space Systems","Baikonur Cosmodrome Site 81",",",,
"STS-64","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Carl J. Meade","Illinois"
"Kosmos 482","Soviet Academy of Sciences","Baikonur Cosmodrome",",",,
"SpaceX CRS-13","SpaceX","SLC-40",",",,
"STS-56","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Stephen S. Oswald","Seattle"
"Programme for Reusable In-orbit Demonstrator in Europe","ESA","ELA-1",",",,
"Kosmos 2382","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Alouette 2","Defence Research and Development Canada","Vandenberg Air Force Base",",",,
"POLDER","CNES","Tanegashima Space Center",",",,
"Progress MS-07","Roscosmos State Corporation","Gagarin's Start",",",,
"Intelsat 605","Intelsat","ELA-2",",",,
"Surveyor 5","NASA","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"NOAA-B","NOAA","Vandenberg Air Force Base",",",,
"STS-59","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Linda M. Godwin","Cape Girardeau, Missouri"
"SpaceX CRS-6","NASA","Cape Canaveral Air Force Station",",",,
"Apollo 6","NASA","Kennedy Space Center Launch Complex 39",",",,
"Spaceway F2","DirecTV","Guiana Space Centre",",",,
"SEEDS-2","Nihon University","Satish Dhawan Space Centre Second Launch Pad",",",,
"Surveyor 2","NASA","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"Telstar 12","Telesat","ELA-2",",",,
"STS-85","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jan Davis","Cocoa Beach, Florida"
"Kounotori 5","JAXA","Tanegashima Space Center",",",,
"Heat Capacity Mapping Mission","NASA","Vandenberg AFB",",",,
"IRS-1B","Indian Space Research Organisation","Baikonur Cosmodrome",",",,
"Aqua (satellite)","NASA","Vandenberg Air Force Base",",",,
"Jupiter Icy Moons Explorer","ESA","Guiana Space Centre",",",,
"STS-41-C","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert Crippen","Beaumont, Texas"
"SES-5","SES S.A.","Baikonur Cosmodrome Site 81",",",,
"MAVEN","NASA","Cape Canaveral Air Force Station",",",,
"USA-126","US Air Force","Cape Canaveral Air Force Station",",",,
"USA-243","US Air Force","Cape Canaveral Air Force Station",",",,
"Optus D3","Optus","Guiana Space Centre",",",,
"Kosmos 2418","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Shenzhou 11","China National Space Administration","Jiuquan Satellite Launch Center","40.96749877929688,100.2786102294922","Chen Dong (astronaut)","Luoyang"
"Thaicom 8","Thaicom","Cape Canaveral Air Force Station",",",,
"Gemini 6A","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Thomas P. Stafford","Oklahoma"
"Kosmos 2483","Russian Aerospace Defence Forces","Plesetsk Cosmodrome",",",,
"Soyuz TMA-14M","Roskosmos","Kazakhstan","51.16666793823242,79.08035278320312","Barry E. Wilmore","Murfreesboro, Tennessee"
"JCSAT-4B","SKY Perfect JSAT Group","Guiana Space Center",",",,
"Cygnus CRS OA-11","NASA","Mid-Atlantic Regional Spaceport Launch Pad 0",",",,
"JCSAT-16","SKY Perfect JSAT Group","Cape Canaveral Air Force Station",",",,
"STS-51-A","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Joseph P. Allen","Crawfordsville, Indiana"
"STS-87","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kalpana Chawla","Haryana"
"Soyuz 6","Soviet space program","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Valeri Kubasov","Soviet Union"
"GSAT-15","ISRO","Guiana Space Centre",",",,
"STS-51","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Daniel W. Bursch","Bristol, Pennsylvania"
"Intelsat 34","Intelsat","Guiana Space Centre",",",,
"STS-41-C","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Dick Scobee","Cle Elum, Washington"
"Kosmos 2431","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Intelsat III F-1","Intelsat","Cape Canaveral Air Force Station",",",,
"N-SAT-110","SKY Perfect JSAT Group","ELA-2",",",,
"SpaceX CRS-7","NASA","Cape Canaveral Air Force Station",",",,
"STS-51-D","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles D. Walker","Bedford, Indiana"
"Soyuz 9","Soviet space program","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Vitaly Sevastyanov","Soviet Union"
"JCSAT-3A","SKY Perfect JSAT Group","Guiana Space Centre",",",,
"Mars Express","ESA","Baikonur Cosmodrome",",",,
"STS-35","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Samuel T. Durrance","Tallahassee, Florida"
"Discoverer 32","United States Air Force","Vandenberg Air Force Base",",",,
"STS-115","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Joseph R. Tanner","Illinois"
"Apollo 7","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Walter Cunningham","Creston, Iowa"
"STS-80","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Story Musgrave","Massachusetts"
"STS-58","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William S. McArthur","Laurinburg"
"STS-34","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ellen S. Baker","Fayetteville, North Carolina"
"Venera 3","OKB-1","Baikonur Cosmodrome",",",,
"Apollo 15","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James Irwin","Pittsburgh"
"Discoverer 17","United States Air Force","Vandenberg Air Force Base",",",,
"Explorer 8","NASA","Cape Canaveral Air Force Station Launch Complex 26",",",,
"STS-91","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Valery Ryumin","Komsomolsk-on-Amur"
"Apollo 17","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Eugene Cernan","Illinois"
"Sentinel-1A","European Space Agency","Ensemble de Lancement Soyouz",",",,
"PSLV-C1","ISRO","Satish Dhawan Space Centre",",",,
"Elektro-L No.2","Roskosmos","Baikonur Cosmodrome Site 45",",",,
"Zond 5","Soviet Union","Baikonur Cosmodrome",",",,
"STS-134","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Andrew J. Feustel","Lancaster, Pennsylvania"
"Heweliusz (satellite)","Space Research Centre","Taiyuan Satellite Launch Center",",",,
"STS-51-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert F. Overmyer","Lorain, Ohio"
"Mercury-Atlas 5","NASA","Cape Canaveral Air Force Station",",",,
"SICRAL 1B","Telespazio","Odyssey (launch platform)",",",,
"Astra 1D","SES S.A.","ELA-2",",",,
"BSAT-3c","SKY Perfect JSAT Group","Guiana Space Center",",",,
"OSO 3","NASA","Cape Canaveral Air Force Station",",",,
"Mars Climate Orbiter","JPL","Cape Canaveral Air Force Station",",",,
"Compton Gamma Ray Observatory","NASA","Kennedy Space Center Launch Complex 39",",",,
"STS-117","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John D. Olivas","Los Angeles"
"Explorer 2","Army Ballistic Missile Agency","Cape Canaveral Air Force Station Launch Complex 26",",",,
"Seasat","California Institute of Technology","Vandenberg Air Force Base",",",,
"STS-59","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Sidney M. Gutierrez","Albuquerque, New Mexico"
"Landsat 2","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"Ranger 2","NASA","Cape Canaveral Air Force Station",",",,
"ALOS-2","JAXA","Tanegashima Space Center",",",,
"Himawari 8","Japan Meteorological Agency","Tanegashima Space Center",",",,
"STS-51-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William E. Thornton","North Carolina"
"Mercury-Atlas 7","NASA","Cape Canaveral Air Force Station","28.48888969421387,-80.57777404785156","Scott Carpenter","Boulder, Colorado"
"STS-29","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James P. Bagian","Philadelphia"
"VNREDSat 1A","Vietnam Academy of Science and Technology","Guiana Space Centre",",",,
"UoSAT-2","University of Surrey","Vandenberg Air Force Base",",",,
"STS-68","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Daniel W. Bursch","Bristol, Pennsylvania"
"STS-5","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William B. Lenoir","Miami"
"Chandrayaan-1","Indian Space Research Organisation","Satish Dhawan Space Centre Second Launch Pad",",",,
"Vanguard TV3","United States Naval Research Laboratory","Cape Canaveral Air Force Station",",",,
"STS-100","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Umberto Guidoni","Italy"
"STS-61-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Bryan D. O'Connor","Orange, California"
"N-STAR b","SKY Perfect JSAT Group","ELA-2",",",,
"USA-199","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-123","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gregory H. Johnson","United Kingdom"
"UoSAT-4","University of Surrey","ELA-2",",",,
"DirecTV-11","DirecTV","Odyssey (launch platform)",",",,
"STS-9","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Byron K. Lichtenberg","Jim Thorpe, Pennsylvania"
"Cartosat-2B","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"ESSA-1","Environmental Science Services Administration","Cape Canaveral Air Force Station",",",,
"Eutelsat 36B","Eutelsat","Baikonur Cosmodrome",",",,
"Hayabusa 2","JAXA","Tanegashima Space Center",",",,
"STS-61","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Kathryn C. Thornton","Montgomery, Alabama"
"STS-84","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Carlos I. Noriega","Lima, Peru"
"INSAT-3D","ISRO","Guiana Space Centre",",",,
"RAX-2","University of Michigan","Vandenberg Air Force Base",",",,
"Zhongxing-10","China Satcom","Xichang Satellite Launch Center",",",,
"Ekspress AM22","Russian Satellite Communications Company","Baikonur Cosmodrome",",",,
"WorldView-4","DigitalGlobe","Vandenberg Air Force Base",",",,
"STS-79","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Carl E. Walz","Cleveland, Ohio"
"Kosmos 1894","VKS","Baikonur Cosmodrome",",",,
"FalconSAT-2","United States Air Force Academy","Omelek Island",",",,
"GOES 7","National Oceanic and Atmospheric Administration","Cape Canaveral Air Force Station",",",,
"Gravity and Extreme Magnetism","NASA","Cape Canaveral Air Force Station",",",,
"STS-44","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James S. Voss","Cordova, Alabama"
"Saturn I SA-4","NASA","Cape Canaveral Air Force Station",",",,
"STS-61-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles D. Walker","Bedford, Indiana"
"STS-124","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Karen L. Nyberg","Parkers Prairie, Minnesota"
"Sina-1","Iranian Space Agency","Plesetsk Cosmodrome",",",,
"TIROS-2","NASA","Cape Canaveral Air Force Station",",",,
"ROBUSTA","Centre Spatial Universitaire Montpellier-Nîmes","Guiana Space Centre",",",,
"BelKA","National Academy of Sciences of Belarus","Baikonur Cosmodrome Site 109",",",,
"STS-116","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Christer Fuglesang","Stockholm"
"STS-119","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Joseph M. Acaba","United States"
"Sojourner (rover)","NASA","Cape Canaveral Air Force Station",",",,
"STS-66","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Curtis Brown","Elizabethtown, North Carolina"
"Satélite de Coleta de Dados","INPE - Instituto Nacional de Pesquisas Espaciais","Kennedy Space Center Launch Complex 39",",",,
"STS-51-L","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Christa McAuliffe","Boston, Massachusetts"
"Kosmos 2251","Russian Space Forces","Plesetsk Cosmodrome",",",,
"Exploration Mission 1","NASA","Kennedy Space Center Launch Complex 39",",",,
"UNIFORM-1","Wakayama University","Yoshinobu Launch Complex",",",,
"STS-107","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","William C. McCool","San Diego"
"Kosmos 2424","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"SERT-1","NASA","Wallops Flight Facility Launch Area 3",",",,
"Kosmos 2412","Russian Space Forces","Baikonur Cosmodrome",",",,
"Ranger 4","NASA","Cape Canaveral Air Force Station",",",,
"Lunar Lander (space mission)","ESA","Guiana Space Centre",",",,
"Soyuz TMA-12M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Oleg Artemyev","Latvia"
"Superbird-B3","SKY Perfect JSAT Group","Guiana Space Centre",",",,
"S-45 (satellite)","NASA","Cape Canaveral Air Force Station Launch Complex 26",",",,
"Kosmos 2282","VKS","Baikonur Cosmodrome Site 81",",",,
"Picard (satellite)","CNES","Dombarovsky (air base)",",",,
"Soyuz 2 (1968 mission)","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"STS-84","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jean-François Clervoy","Longeville-lès-Metz"
"Kosmos 2425","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Kosmos 2482","Russian Aerospace Defence Forces","Plesetsk Cosmodrome",",",,
"Gamma (satellite)","Russian Federal Space Agency","Tyuratam",",",,
"Luna 3","OKB-1","Baikonur Cosmodrome Site 1",",",,
"Surveyor 7","NASA","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"Venera 2MV-1 No.1","OKB-1","Gagarin's Start",",",,
"Ranger 8","NASA","Cape Canaveral Air Force Station",",",,
"Arabsat-5A","Arab Satellite Communications Organization","Guiana Space Centre",",",,
"Soyuz TMA-15M","Roskosmos","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Samantha Cristoforetti","Milan"
"Soyuz TMA-16M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"Intelsat 901","Intelsat","ELA-2",",",,
"Kosmos 2473","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"USA-50","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-42","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ulf Merbold","Greiz"
"STS-63","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Eileen Collins","Elmira, New York"
"STS-46","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jeffrey A. Hoffman","Brooklyn"
"Venera 14","Soviet Academy of Sciences","Baikonur Cosmodrome",",",,
"Compass-1","Fachhochschule Aachen","Satish Dhawan Space Centre Second Launch Pad",",",,
"Horizons-1","Intelsat","Ocean Odyssey",",",,
"Vostok 4","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"Wilkinson Microwave Anisotropy Probe","National Aeronautics and Space Administration","Cape Canaveral Air Force Station",",",,
"STS-54","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald R. McMonagle","Flint, Michigan"
"Soyuz TMA-11M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"STS-75","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Claude Nicollier","Switzerland"
"Xatcobeo","University of Vigo","Guiana Space Centre",",",,
"Soyuz TMA-08M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Christopher Cassidy","Salem, Massachusetts"
"STS-51","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","James H. Newman","Federated States of Micronesia"
"Elektro-L No.1","Roskosmos","Baikonur Cosmodrome Site 45",",",,
"USA-227","National Reconnaissance Office","Cape Canaveral Air Force Station",",",,
"Yutu (rover)","China National Space Administration","Xichang Satellite Launch Center",",",,
"Intelsat 35e","Intelsat","SLC-40",",",,
"Astra 2C","SES S.A.","Baikonur Cosmodrome Site 81",",",,
"Amos-4","Spacecom","Baikonur Cosmodrome Site 45",",",,
"STS-61","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard O. Covey","Fayetteville, Arkansas"
"STS-94","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald A. Thomas","Cleveland"
"Soyuz TMA-15M","Roskosmos","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Terry W. Virts","Maryland"
"Uhuru (satellite)","NASA","Broglio Space Centre",",",,
"Badr (satellite)","SUPARCO","Baikonur Cosmodrome Site 45",",",,
"Pioneer P-3","NASA","Cape Canaveral Air Force Station",",",,
"Courier 1B","United States Air Force","Cape Canaveral Air Force Station",",",,
"STS-77","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Marc Garneau","Canada"
"USA-83","US Air Force","Cape Canaveral Air Force Station",",",,
"AMC-7","SES S.A.","Guiana Space Centre",",",,
"Soyuz TMA-13M","Roskosmos","Gagarin's Start","45.9202766418457,63.34222030639648","Gregory R. Wiseman","Baltimore"
"STS-118","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles O. Hobaugh","Bar Harbor, Maine"
"Progress M-65","Roskosmos","Gagarin's Start",",",,
"Saturn I SA-2","NASA","Cape Canaveral Air Force Station",",",,
"NOAA-16","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"STS-88","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert D. Cabana","Minneapolis, Minnesota"
"Progress M-64","Roskosmos","Gagarin's Start",",",,
"N-STAR a","SKY Perfect JSAT Group","ELA-2",",",,
"Soyuz TMA-05M","Roskosmos","Baikonur Cosmodrome Site 1",",",,
"SES-6","SES S.A.","Baikonur Cosmodrome",",",,
"STS-72","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Brian Duffy (astronaut)","Boston"
"Sputnik 2","OKB-1","Baikonur Cosmodrome Site 1",",",,
"STS-61-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Mary L. Cleave","Southampton, New York"
"STS-81","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Marsha Ivins","Baltimore, Maryland"
"STS-32","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Marsha Ivins","Baltimore"
"STS-41","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Richard N. Richards","Key West"
"Apollo 10","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John Young (astronaut)","California"
"Spaceway F1","DirecTV","Odyssey (launch platform)",",",,
"USA-206","US Air Force","Cape Canaveral Air Force Station",",",,
"STS-55","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles J. Precourt","Waltham, Massachusetts"
"Venera 1","OKB-1","Baikonur Cosmodrome Site 1",",",,
"Intelsat 21","Intelsat","Odyssey (launch platform)",",",,
"STS-107","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Rick Husband","Amarillo, Texas"
"STS-122","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Hans Schlegel","Germany"
"Galaxy 18","Intelsat","Odyssey (launch platform)",",",,
"STS-35","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Robert A. Parker","New York City"
